Radial Position,Temperature
0.0,510.74423382917877
0.00014999999999999996,508.872958439787
0.0002999999999999999,502.97292174806523
0.0004499999999999999,493.0199355176884
0.0005999999999999998,482.50247333651447
0.0007500000000000007,474.24068057736554
0.0009000000000000006,467.41924506716543
0.0010499999999999997,461.6000687943351
0.0011999999999999997,456.5199344937544
0.0013499999999999996,452.0080565605134
0.0014999999999999996,447.94719230788246
0.0016500000000000004,444.25329874357146
0.0018000000000000004,440.86403187519954
0.0019500000000000003,437.73183901922425
0.0020999999999999994,434.8196028251411
0.0022499999999999994,432.0977821859585
0.0023999999999999994,429.5424716324781
0.00255,427.13404603479455
0.0027,424.85619053646997
0.00285,422.69519121491544
0.003,420.6394065555329
0.00315,418.6788670421567
0.0033,416.8049672722593
0.00345,415.0102260416659
0.0035999999999999995,413.28809713167556
0.00375,411.63281844603364
0.0039,410.0392905223223
0.00405,408.5029778030953
0.004200000000000001,407.01982772832787
0.00435,405.58620391812974
0.0045,404.1988305957867
0.00465,402.8547460520682
0.0048,401.55126343803755
0.0049499999999999995,400.2859375406278
0.0051,399.05653647501424
0.0052499999999999995,397.8610174430165
0.0054,396.6975058736866
0.005549999999999999,395.5642773927375
0.0057,394.4597421702556
0.00585,393.3824312777035
0.006,392.33098475031966
0.006149999999999999,391.3041411033388
0.0063,390.3007280927405
0.00645,389.3196545455888
0.0066,388.3599031131097
0.00675,387.4205238227015
0.0069,386.50062832408173
0.00705,385.599384740539
0.0072,384.7160130493766
0.00735,383.8497809265897
0.0075,383.0
